user_id,lat,lon,weather_id,weather_main,weather_description,weather_icon,base,temperature,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind,wind_deg,wind_gust,rain,clouds,dt,sys,timezone,id,name,cod
8,25.7415,83.7681,800,Clear,clear sky,01n,stations,309.33,308.65,309.33,309.33,997,26,997.0,990.0,10000,1.45,134,1.53,,{'all': 3},1716572474,1716556091,19800,1262626,Muhammadābād,200
7,30.7415,69.4406,801,Clouds,few clouds,02n,stations,302.1,300.47,302.1,302.1,1004,12,1004.0,845.0,10000,4.27,268,7.56,,{'all': 12},1716572476,1716560146,18000,1169663,Musa Khel Bazar,200
9,26.85,69.4406,800,Clear,clear sky,01n,stations,310.37,311.27,310.37,310.37,997,30,997.0,992.0,10000,7.64,228,13.31,,{'all': 2},1716572477,1716559662,18000,1182295,Bozdar Wada,200
5,28.0842,74.5712,801,Clouds,few clouds,02n,stations,310.18,307.94,310.18,310.18,998,16,998.0,964.0,10000,3.73,62,4.19,,{'all': 23},1716572479,1716558579,19800,1258366,Ratangarh,200
9,30.0837,71.7974,800,Clear,clear sky,01n,stations,310.12,307.42,310.12,310.12,996,12,996.0,983.0,10000,3.26,199,4.43,,{'all': 2},1716572479,1716559495,18000,1167648,Qadirpur Ran,200
7,23.9975,71.7974,800,Clear,clear sky,01n,stations,306.76,308.67,306.76,306.76,999,43,999.0,993.0,10000,6.19,264,13.19,,{'all': 0},1716572480,1716558765,19800,1253786,Un,200
8,26.7415,73.7681,800,Clear,clear sky,01n,stations,310.48,307.78,310.48,310.48,998,12,998.0,961.0,10000,2.79,348,2.93,,{'all': 0},1716572481,1716558610,19800,1263120,Merta,200
6,22.7415,70.7681,800,Clear,clear sky,01n,stations,302.66,307.02,302.66,302.66,1001,70,1001.0,995.0,10000,9.05,253,12.01,,{'all': 0},1716572482,1716558871,19800,1254972,Tankāra,200
5,22.9221,72.7789,800,Clear,clear sky,01n,stations,311.22,310.62,311.22,311.22,999,23,999.0,994.0,10000,6.17,272,12.02,,{'all': 0},1716572484,1716558408,19800,1264398,Mahemdāvād,200
4,26.3107,71.1926,800,Clear,clear sky,01n,stations,309.52,307.23,309.52,309.52,999,16,999.0,969.0,10000,4.07,204,7.02,,{'all': 0},1716572485,1716559177,19800,1265944,Kotri,200
9,23.6633,73.3003,800,Clear,clear sky,01n,stations,308.51,307.92,308.51,308.51,999,28,999.0,980.0,10000,6.52,274,13.24,,{'all': 1},1716572485,1716558366,19800,1266776,Kheradi,200
6,26.9181,70.4406,800,Clear,clear sky,01n,stations,312.43,309.44,312.43,312.43,997,10,997.0,979.0,10000,2.38,185,3.37,,{'all': 0},1716572485,1716559430,19800,1269507,Jaisalmer,200
10,30.9181,68.4406,803,Clouds,broken clouds,04n,stations,300.95,299.69,300.95,300.95,1006,17,1006.0,826.0,10000,1.82,343,3.27,,{'all': 65},1716572486,1716560409,18000,1167550,Qila Saifullah,200
9,23.9975,71.7898,800,Clear,clear sky,01n,stations,306.78,308.71,306.78,306.78,999,43,999.0,993.0,10000,6.21,265,13.19,,{'all': 0},1716572488,1716558766,19800,1253786,Un,200
9,22.85,72.95,800,Clear,clear sky,01n,stations,311.21,311.43,311.21,311.21,999,26,999.0,994.0,10000,5.15,263,10.76,,{'all': 0},1716572489,1716558359,19800,1264344,Mahudha,200
5,26.2442,87.5378,800,Clear,clear sky,01n,stations,307.83,308.23,307.83,307.83,998,34,998.0,992.0,10000,0.46,2,0.65,,{'all': 0},1716572490,1716555245,19800,1278446,Arāria,200
1,22.9975,74.7898,804,Clouds,overcast clouds,04n,stations,309.97,308.0,309.97,309.97,999,18,999.0,955.0,10000,7.65,269,13.04,,{'all': 99},1716572491,1716557934,19800,1259840,Petlāwad,200
3,27.9975,69.7898,800,Clear,clear sky,01n,stations,312.73,309.58,312.73,312.73,996,9,996.0,989.0,10000,3.9,121,4.1,,{'all': 0},1716572492,1716559716,18000,1174357,Khairpur,200
2,31.0842,80.5712,800,Clear,clear sky,01n,stations,280.84,279.43,280.84,280.84,1013,58,1013.0,616.0,10000,2.26,200,2.15,,{'all': 5},1716572493,1716643956,28800,1279865,Toding,200
7,26.9975,72.7898,800,Clear,clear sky,01n,stations,311.0,308.42,311.0,311.0,998,13,998.0,965.0,10000,3.43,8,3.54,,{'all': 0},1716572494,1716558875,19800,1259813,Phalodi,200
7,38.0837,67.7974,803,Clouds,broken clouds,04n,stations,295.7,295.68,295.7,295.7,1012,64,1012.0,959.0,10000,3.84,19,7.03,,{'all': 69},1716572495,1716561594,18000,1216115,Sho`rchi,200
4,33.0837,77.7974,802,Clouds,scattered clouds,03n,stations,272.06,272.06,272.06,272.06,1024,74,1024.0,594.0,10000,1.28,201,1.62,,{'all': 37},1716572496,1716558453,19800,1269320,Jammu and Kashmir,200
10,23.0761,70.8774,800,Clear,clear sky,01n,stations,303.36,308.71,303.36,303.36,1001,70,1001.0,1000.0,10000,9.42,248,12.65,,{'all': 0},1716572497,1716558882,19800,1262775,Morvi,200
5,36.0842,75.5712,803,Clouds,broken clouds,04n,stations,261.16,261.16,261.16,261.16,1028,68,1028.0,521.0,10000,0.72,99,2.45,,{'all': 57},1716572498,1716559418,18000,1168878,Gilgit-Baltistan,200
6,21.3107,74.1926,802,Clouds,scattered clouds,03n,stations,305.12,305.04,305.12,305.12,1001,38,1001.0,972.0,10000,9.86,259,16.09,,{'all': 46},1716572499,1716557893,19800,1261931,Nandurbar,200
8,25.85,81.95,800,Clear,clear sky,01n,stations,310.02,309.4,310.02,310.02,997,25,997.0,986.0,10000,2.47,139,3.28,,{'all': 3},1716572500,1716556540,19800,1259337,Pratāpgarh,200
7,19.9975,73.7898,800,Clear,clear sky,01n,stations,301.25,301.28,301.25,301.25,1004,45,1004.0,940.0,10000,6.48,256,13.61,,{'all': 7},1716572500,1716557849,19800,8131501,Nashik,200
10,21.9975,75.7898,804,Clouds,overcast clouds,04n,stations,311.53,310.08,311.53,311.53,998,19,998.0,973.0,10000,10.02,286,15.28,,{'all': 88},1716572501,1716557584,19800,1275978,Bhikangaon,200
10,24.2442,91.5378,800,Clear,clear sky,01n,stations,302.17,306.11,302.17,302.17,1000,71,1000.0,998.0,10000,3.5,188,9.31,,{'all': 2},1716572502,1716554053,21600,1266649,Khowai,200
4,26.0842,83.5712,802,Clouds,scattered clouds,03n,stations,309.89,309.22,309.89,309.89,997,25,997.0,989.0,10000,1.98,114,2.04,,{'all': 29},1716572502,1716556178,19800,1271259,Ghosī,200
8,21.9975,73.7898,802,Clouds,scattered clouds,03n,stations,306.42,307.83,306.42,306.42,1000,42,1000.0,988.0,10000,4.17,224,9.57,,{'all': 35},1716572504,1716558064,19800,1257366,Sankheda,200
6,27.0842,75.5712,803,Clouds,broken clouds,04n,stations,309.83,307.69,309.83,309.83,998,17,998.0,952.0,10000,1.66,81,4.31,,{'all': 71},1716572505,1716558218,19800,1268874,Jobner,200
10,30.7415,76.7681,801,Clouds,few clouds,02n,stations,307.68,306.03,307.68,307.68,998,23,998.0,961.0,10000,0.83,31,0.82,,{'all': 18},1716572505,1716558387,19800,1274746,Chandigarh,200
9,-71.4197,71.7478,804,Clouds,overcast clouds,04n,stations,244.84,237.84,244.84,244.84,987,85,987.0,931.0,10000,3.84,185,4.3,,{'all': 96},1716572507,0,18000,0,,200
7,22.3107,73.1926,711,Smoke,smoke,50n,stations,310.16,312.17,310.16,310.16,1000,34,,,4000,4.12,220,,,{'all': 0},1716572508,1716558242,19800,1253573,Vadodara,200
3,33.85,77.95,800,Clear,clear sky,01n,stations,275.66,275.66,275.66,275.66,1018,33,1018.0,584.0,10000,1.17,226,2.28,,{'all': 10},1716572509,1716558523,19800,1264976,Leh,200
